,taxID,genus,epithet,entry_UIDs,count,outgroup
1487262,1487262,Leccinum,aff. extremiorientale HKAS 68586,['613813937'],1,False
1487260,1487260,Leccinellum,sp. HKAS 53427,['613814061'],1,False
1487259,1487259,Leccinellum,aff. crocipodium HKAS 76658,['613814059'],1,False
1487258,1487258,Gyroporus,sp. HKAS 63505,['613814155'],1,False
1487256,1487256,Gyrodon,sp. HKAS 59448,['613814151'],1,False
1487255,1487255,Gyrodon,sp. HKAS 57588,['613814149'],1,False
1487254,1487254,Gastroboletus,sp. HKAS 57093,['613813861'],1,False
1487251,1487251,Boletus,sp. HKAS 76850,['613813923'],1,False
1487249,1487249,Boletus,sp. HKAS 76660,['613813949'],1,False
1487248,1487248,Boletus,sp. HKAS 75081,['613813909'],1,False
1487247,1487247,Boletus,sp. HKAS 75054,['613813995'],1,False
1487246,1487246,Boletus,sp. HKAS 74864,['613813885'],1,False
1487245,1487245,Boletus,sp. HKAS 74765,['613813911'],1,False
1487244,1487244,Boletus,sp. HKAS 68679,['613813879'],1,False
1487243,1487243,Boletus,sp. HKAS 68587,['613813863'],1,False
1487242,1487242,Boletus,sp. HKAS 67896,['613813997'],1,False
1487241,1487241,Boletus,sp. HKAS 63607,['613813907'],1,False
1487240,1487240,Boletus,sp. HKAS 63598,['613813873'],1,False
1487239,1487239,Boletus,sp. HKAS 63528,['613813889'],1,False
1487238,1487238,Boletus,sp. HKAS 63504,['613813931'],1,False
1487235,1487235,Boletus,sp. HKAS 59814,['613813961'],1,False
1487233,1487233,Boletus,sp. HKAS 59660,['613813875'],1,False
1487232,1487232,Boletus,sp. HKAS 59609,['613813927'],1,False
1487231,1487231,Boletus,sp. HKAS 59554,['613813925'],1,False
1487230,1487230,Boletus,sp. HKAS 59469,['613813869'],1,False
1487229,1487229,Boletus,sp. HKAS 57774,['613813895'],1,False
1487228,1487228,Boletus,sp. HKAS 57512,['613813865'],1,False
1487226,1487226,Boletus,sp. HKAS 57489,['613813899'],1,False
1487225,1487225,Boletus,sp. HKAS 55444,['613813881'],1,False
1487224,1487224,Boletus,sp. HKAS 55413,['613813891'],1,False
1487223,1487223,Boletus,sp. HKAS 55373,['613814045'],1,False
1487222,1487222,Boletus,sp. HKAS 53426,['613814167'],1,False
1487221,1487221,Boletus,sp. HKAS 53425,['613814025'],1,False
1487220,1487220,Boletus,sp. HKAS 53421,['613813999'],1,False
1487219,1487219,Boletus,sp. HKAS 53369,['613813887'],1,False
1487218,1487218,Boletus,sp. HKAS 53353,['613813905'],1,False
1487217,1487217,Boletus,sp. HKAS 52661,['613813893'],1,False
1487216,1487216,Boletus,sp. HKAS 52639,['613813929'],1,False
1487215,1487215,Boletus,sp. HKAS 52601,['613813973'],1,False
1487214,1487214,Boletus,sp. HKAS 52525,['613813897'],1,False
1487213,1487213,Boletus,sp. HKAS 52518,['613813915'],1,False
1487212,1487212,Boletus,sp. HKAS 52235,['613814043'],1,False
1487211,1487211,Boletus,sp. HKAS 50351,['613813901'],1,False
1487207,1487207,Boletus,aff. speciosus HKAS 59467,['613813903'],1,False
1487206,1487206,Boletus,aff. erythropus HKAS 55440,['613813867'],1,False
1487205,1487205,Lanmaoa,aff. carminipes HKAS 54094,['613813913'],1,False
1487204,1487204,Boletus,aff. calopus HKAS 74739,['613813883'],1,False
1487203,1487203,Parvixerocomus,aff. aokii HKAS 52633,['613814065'],1,False
1487202,1487202,Suillellus,aff. amygdalinus HKAS 57262,['613813871'],1,False
1487201,1487201,Boletellus,sp. HKAS 74888,['613814005'],1,False
1487200,1487200,Boletellus,sp. HKAS 74783,['613814093'],1,False
1487199,1487199,Boletellus,sp. HKAS 59536,['613814113'],1,False
1487198,1487198,Boletellus,sp. HKAS 58713,['613814115'],1,False
1487197,1487197,Boletellus,sp. HKAS 53376,['613814001'],1,False
1487196,1487196,Boletellus,sp. HKAS 53375,['613814003'],1,False
1487194,1487194,Boletellus,aff. emodensis HKAS 52678,['613814111'],1,False
1487192,1487192,Austroboletus,sp. HKAS 59624,['613814009'],1,False
1487191,1487191,Austroboletus,sp. HKAS 57756,['613814007'],1,False
1487190,1487190,Austroboletus,aff. mutabilis HKAS 53450,['613814015'],1,False
1487189,1487189,Austroboletus,aff. fusisporus HKAS 53461,['613814013'],1,False
1487188,1487188,Austroboletus,aff. fusisporus HKAS 52683,['613814011'],1,False
1487187,1487187,Aureoboletus,sp. HKAS 57581,['613813989'],1,False
1487186,1487186,Aureoboletus,sp. HKAS 53458,['613813985'],1,False
1485230,1485230,Suillus,marginielevatus,"['1181244314', '1181244312', '1181244310']",3,False
1453540,1453540,Boletus,shiyong,"['764697877', '764697875', '391886184']",3,False
1453539,1453539,Boletus,meiweiniuganjun,"['391886182', '391886180']",2,False
1453538,1453538,Boletus,bainiugan,"['764697861', '391886186']",2,False
1398506,1398506,Imleria,subalpina,"['542130165', '542130163']",2,False
1398505,1398505,Imleria,obscurebrunnea,"['542130169', '542130153']",2,False
1398504,1398504,Imleria,parva,"['542130161', '542130159']",2,False
1391648,1391648,Aureoboletus,tenuis,['1095785979'],1,False
1355225,1355225,Boletus,semigastroideus,['526840254'],1,False
1355219,1355219,Leccinellum,crocipodium,['312190920'],1,False
1355216,1355216,Xerocomellus,cf. rubellus East Coast MB03-033,['526840228'],1,False
1355149,1355149,Boletus,subalpinus,['526840244'],1,False
1354920,1354920,Xerocomellus,chrysenteron,"['542130157', '526840216', '613813921']",3,False
1354918,1354918,Xanthoconium,stramineum,['526840258'],1,False
1354916,1354916,Leccinellum,corsicum,['526840264'],1,False
1354912,1354912,Baorangia,rufomaculata,['526840224'],1,False
1354909,1354909,Boletus,pulchriceps,"['942710638', '526840238']",2,False
1354903,1354903,Rubroboletus,dupainii,['526840208'],1,False
1354898,1354898,Boletus,abruptibulbus,['526840262'],1,False
1354897,1354897,Aureoboletus,roxanae,['526840248'],1,False
1354896,1354896,Aureoboletus,moravicus,['613813987'],1,False
1348652,1348652,Xerocomellus,zelleri,['526840218'],1,False
1325616,1325616,Butyriboletus,roseoflavus,"['686484282', '612064536']",2,False
1325514,1325514,Harrya,chromapes,"['312190892', '613814029']",2,False
1297044,1297044,Butyriboletus,yicibus,"['942710648', '942710646']",2,False
1297043,1297043,Butyriboletus,brunneus,['942710630'],1,False
1297042,1297042,Boletus,roseopurpureus,"['942710642', '526840230']",2,False
1288706,1288706,Phylloporus,imbricatus,['613814143'],1,False
1288704,1288704,Phylloporus,luxiensis,['613814141'],1,False
1282272,1282272,Caloboletus,firmus,['526840222'],1,False
1278234,1278234,Strobilomyces,echinocephalus,"['1375422441', '442539668']",2,False
1278228,1278228,Tylopilus,balloui,"['170296661', '170296660', '170296659', '170296657', '170296655', '170296653', '170296651', '170296647', '170296645', '170296643', '170296641', '170296639', '170296637', '312190926', '312190924']",15,False
1269243,1269243,Tylopilus,griseipurpureus,['1095786127'],1,False
1263940,1263940,Strobilomyces,hongoi,"['347582304', '347582284', '347582282', '347582278', '347582262', '347582254', '347582242', '347582238']",8,False
1256250,1256250,Leccinellum,sp. HKAS 50221,['442557385'],1,False
1256248,1256248,Retiboletus,aff. nigerrimus HKAS 59699,['442557383'],1,False
1256247,1256247,Retiboletus,aff. griseus HKAS 59460,['442557379'],1,False
1256246,1256246,Leccinum,aff. aurantiacum HKAS 57390,['442557381'],1,False
1256245,1256245,Chalciporus,aff. piperatus HKAS 50214,['442557387'],1,False
1256133,1256133,Borofutus,dhakanus,"['442557373', '442557371', '442557369']",3,False
1217839,1217839,Suillus,ponderosus,['1181244254'],1,False
1195726,1195726,Xerocomus,magniporus,['613814133'],1,False
1194958,1194958,Boletus,fagacicola,"['764697865', '764697863', '391886286', '391886204']",4,False
1194957,1194957,Boletus,sp. 8 ZLY-2012,['391886206'],1,False
1194950,1194950,Boletus,sp. 12 ZLY-2012,['391886292'],1,False
1194947,1194947,Boletus,sp. HKAS 52241,['391886208'],1,False
1173595,1173595,Lanmaoa,carminipes,['526840212'],1,False
1089193,1089193,Zangia,roseola,['442557389'],1,False
1089190,1089190,Zangia,erythrocephala,['613814027'],1,False
1089185,1089185,Tylopilus,violatinctus,['613814109'],1,False
925758,925758,Xanthoconium,purpureum,"['312190914', '1095786187']",2,False
925757,925757,Tylopilus,intermedius,['312190930'],1,False
925644,925644,Retiboletus,griseus,"['312190896', '526840232', '613813943']",3,False
925643,925643,Lanmaoa,pallidorosea,['312190900'],1,False
925641,925641,Boletellus,piakaii,['312190902'],1,False
925640,925640,Boletellus,exiguus,['312190904'],1,False
925639,925639,Boletellus,dicymbophilus,['312190884'],1,False
925638,925638,Boletellus,sp. BD366,['312190894'],1,False
925637,925637,Boletus,austroedulis,['312190872'],1,False
925636,925636,Boletus,sp. REH8790,['312190874'],1,False
925635,925635,Xerocomus,sp. TH8850,['312190908'],1,False
925633,925633,Xerocomus,sp. TH8821,['312190910'],1,False
889443,889443,Retiboletus,nigerrimus,"['1095786137', '347582308']",2,False
889441,889441,Strobilomyces,aff. strobilaceus ST10-1,['347582296'],1,False
889440,889440,Strobilomyces,aff. confusus SC1-5,['347582276'],1,False
889439,889439,Strobilomyces,aff. confusus SC2-5,['347582274'],1,False
889438,889438,Strobilomyces,aff. confusus SC2-4,['347582272'],1,False
889437,889437,Strobilomyces,aff. strobilaceus ST9-1,['347582270'],1,False
889436,889436,Strobilomyces,aff. confusus SC1-4,['347582268'],1,False
889435,889435,Strobilomyces,aff. confusus SC2-3,['347582266'],1,False
889434,889434,Strobilomyces,aff. confusus SC2-2,['347582264'],1,False
889433,889433,Strobilomyces,aff. confusus SC2-1,['347582260'],1,False
889432,889432,Strobilomyces,aff. confusus SC1-3,['347582258'],1,False
889431,889431,Strobilomyces,aff. strobilaceus ST5-4,['347582256'],1,False
889430,889430,Strobilomyces,aff. confusus SC1-2,['347582252'],1,False
889429,889429,Strobilomyces,sp. SU-1,['347582246'],1,False
889428,889428,Strobilomyces,aff. strobilaceus ST8-1,['347582244'],1,False
889427,889427,Strobilomyces,aff. strobilaceus ST7-1,['347582240'],1,False
889425,889425,Strobilomyces,aff. strobilaceus ST5-3,['347582232'],1,False
889424,889424,Strobilomyces,aff. strobilaceus ST5-2,['347582230'],1,False
889423,889423,Strobilomyces,aff. strobilaceus ST6-3,['347582228'],1,False
889422,889422,Strobilomyces,aff. strobilaceus ST6-2,['347582226'],1,False
889421,889421,Strobilomyces,aff. strobilaceus ST6-1,['347582224'],1,False
889420,889420,Strobilomyces,aff. strobilaceus ST5-1,['347582222'],1,False
889419,889419,Strobilomyces,aff. strobilaceus ST4-1,['347582220'],1,False
889418,889418,Strobilomyces,aff. strobilaceus ST3-1,['347582218'],1,False
889417,889417,Strobilomyces,aff. confusus SC1-1,['347582216'],1,False
889416,889416,Strobilomyces,aff. strobilaceus ST2-1,['347582214'],1,False
889415,889415,Strobilomyces,foveatus,"['347582302', '347582300', '347582298', '347582212', '347582210', '347582208', '347582202']",7,False
889414,889414,Strobilomyces,annulatus,"['347582206', '347582204', '347582200']",3,False
889413,889413,Strobilomyces,aff. strobilaceus ST1-1,['347582198'],1,False
860684,860684,Coniophora,cerebella,['300394203'],1,False
